"participant_code","mode_survey","assign_date","assign_week_day","actual_date","actual_week_day","actual_hour","age_or_range","age_or_mid_range","gender","full_or_part_time","work_role","edu","indiv_or_family_income","income_mid_range","place_birth","district","ethnicity","permanent_residence","num_usual_contacts","include_all_contacts","num_left_out","num_diary_contact","age_weights","houseSize","distance","weights"
13229962,1,336,5,364.568981481483,0,13,2,"41-65",0,1,1,"postsec",1,">=40k",1,17,1,1,5,997,5,37,11.3636363636364,">=5",0.229531077973024,1
13310788,0,27,4,27.8146412037313,0,19,1,"41-65",1,1,1,"postsec",1,"10-19k",1,7,1,1,3,1,9001,1,11.3636363636364,"3",0.482050456268401,1
13317389,1,333,2,368.693993055611,0,16,1,">65",0,999,6,"secondary",2,"<10k",2,14,1,1,3,999,9001,7,7.96178343949044,"3",0.992003621638441,1
13346161,1,359,7,400.493333333288,1,11,1,"0-10",0,999,4,"unknown",2,"10-19k",1,7,1,1,3,997,2,7,27.9329608938547,"3",0.475357828741105,1
13376654,0,395,1,394.527372685145,1,12,2,"11-19",0,1,4,"primary",999,"unknown",1,14,1,1,4,997,100,4,20.0400801603206,"4",0.193229297150138,1
13643403,1,320,3,337.777326388867,1,18,1,">65",0,999,999,"unknown",999,"unknown",2,17,1,1,2,997,9001,4,7.96178343949044,"2",0.981859932095487,1
13750943,1,206,1,259.771342592547,0,18,2,"41-65",1,999,6,"unknown",1,"10-19k",1,3,1,1,2,1,9001,4,11.3636363636364,"2",0.902164096347555,1
13775858,0,366,7,364.488587962929,0,11,1,"0-10",1,999,999,"unknown",999,"unknown",1,16,1,1,4,997,120,3,23.5294117647059,"4",0.304855785230678,1
13851014,1,32,2,83.4342708333861,0,10,1,"21-40",0,1,1,"secondary",1,"<10k",2,7,1,1,2,997,3,13,15.3374233128834,"2",0.425577442572635,1
13884579,1,102,2,124.555821759277,0,13,1,">65",0,999,6,"unknown",999,"<10k",2,7,1,1,4,999,9001,7,7.96178343949044,"4",0.997904999685242,1
13949447,0,314,4,312.768865740742,0,18,1,"11-19",0,999,999,"primary",2,"unknown",1,7,1,1,5,997,80,2,20.0400801603206,">=5",0.309421557046586,1
14017158,1,355,3,369.537916666712,0,12,1,"41-65",0,1,2,"postsec",1,"10-19k",1,8,1,1,3,999,9001,29,11.3636363636364,"3",0.472664522119898,1
14055983,0,365,6,368.733368055546,0,17,1,"0-10",0,1,4,"primary",1,"<10k",1,17,1,1,5,1,9001,10,23.5294117647059,">=5",0.637578910887742,1
14066034,1,25,2,28.6976967592491,0,16,1,">65",1,999,999,"secondary",2,"10-19k",2,14,1,1,2,1,9001,15,7.96178343949044,"2",0.990982314461958,1
14182942,0,356,4,358.720173611073,1,17,2,"41-65",0,1,1,"postsec",1,"20-39k",1,17,1,1,3,999,9001,14,10.6837606837607,"3",0.243990353377317,1
