participant_code,include_all_contacts,diary_contact_idx,contact_age_or_range,contact_age_or_mid_range,contact_gender,contact_member,skin_contact,non_physical_contact,total_time,house_contact,work_contact,school_contact,transport_contact,other_contact,how_often,record_time,record_date
42818681,997,24,2,32.5,2,997,9001,2,3,9001,9001,9001,4,9001,5,736696.672916667,370
42818681,997,25,2,67.5,2,997,9001,2,3,9001,9001,9001,9001,9001,5,736696.673611111,370
42818681,997,26,2,30,1,997,9001,2,1,9001,9001,9001,9001,997,2,736696.673611111,370
91464655,1,1,2,8,2,1,1,2,5,1,9001,9001,9001,997,1,736696.544444444,351
91464655,1,2,2,38,1,1,1,2,5,1,9001,9001,9001,997,1,736696.544444444,351
91464655,1,3,2,33,2,1,1,2,5,1,9001,9001,9001,997,1,736696.545138889,351
91464655,1,4,2,3,999,3,9001,2,4,9001,9001,3,4,997,1,736696.546527778,351
91464655,1,5,2,999,999,3,1,2,4,9001,9001,3,9001,9001,1,736696.546527778,351
91464655,1,6,2,63,2,1,1,2,4,1,9001,9001,9001,9001,1,736696.549305556,351
98903367,999,1,1,73,2,1,9001,2,1,1,9001,9001,9001,9001,1,736696.503472222,370
98903367,999,2,1,33,999,3,9001,2,4,9001,9001,9001,9001,9001,1,736696.504166667,370
98903367,999,3,1,10,1,3,9001,2,5,9001,9001,3,9001,9001,1,736696.504861111,370
98903367,999,4,1,10,2,3,9001,2,5,9001,9001,3,9001,9001,3,736696.504861111,370
98903367,999,5,1,10,1,3,9001,2,5,9001,9001,3,9001,9001,1,736696.505555556,370
98903367,999,6,1,40,999,3,9001,2,5,9001,9001,9001,9001,9001,3,736696.505555556,370
98903367,999,7,1,33,999,3,9001,2,3,9001,9001,9001,9001,9001,1,736696.50625,370
98903367,999,8,1,13,2,1,9001,2,5,1,9001,9001,9001,9001,1,736696.50625,370
98903367,999,9,1,47,2,1,9001,2,4,1,9001,9001,9001,9001,1,736696.50625,370
98903367,999,10,1,45,1,1,9001,2,4,1,9001,9001,9001,9001,1,736696.506944445,370
98903367,999,11,1,13,2,997,9001,2,1,9001,9001,9001,9001,9001,5,736696.506944445,370
98903367,999,12,1,46,1,1,9001,2,2,1,9001,9001,9001,9001,1,736696.506944445,370
98903367,999,13,1,46,1,1,9001,2,2,1,9001,9001,9001,9001,3,736696.507638889,370
98903367,999,14,1,30,2,5,9001,2,3,9001,2,9001,9001,9001,3,736696.508333333,370
98903367,999,15,1,41,2,997,9001,2,2,9001,9001,9001,9001,997,4,736696.508333333,370
98903367,999,16,1,50,2,997,9001,2,3,9001,9001,9001,9001,997,5,736696.509027778,370
98903367,999,17,1,45,2,997,9001,2,2,9001,9001,9001,9001,997,5,736696.509027778,370
41323143,1,1,1,47,2,1,9001,2,2,1,9001,9001,9001,9001,1,736696.450694444,371
41323143,1,2,1,23,2,5,9001,2,4,9001,2,9001,9001,9001,1,736696.451388889,371
41323143,1,3,1,35,2,5,9001,2,4,9001,2,9001,9001,9001,1,736696.451388889,371
41323143,1,4,1,27,1,5,9001,2,4,9001,2,9001,9001,9001,1,736696.451388889,371
41323143,1,5,1,53,1,5,9001,2,4,9001,2,9001,9001,9001,1,736696.452083333,371
41323143,1,6,1,32,1,5,9001,2,4,9001,2,9001,9001,9001,1,736696.452083333,371
41323143,1,7,1,55,1,5,9001,2,4,9001,2,9001,9001,9001,1,736696.452083333,371
41323143,1,8,1,83,2,997,9001,2,4,9001,9001,9001,9001,997,3,736696.452777778,371
41323143,1,9,1,55,2,997,9001,2,4,9001,9001,9001,9001,997,3,736696.452777778,371
41323143,1,10,1,63,1,997,9001,2,4,9001,9001,9001,9001,997,3,736696.453472222,371
41323143,1,11,1,53,2,997,9001,2,4,9001,9001,9001,9001,997,3,736696.453472222,371
